method,program_name,job_id,stored_test_acc,full_seq_exact_match_acc,positive_seq_exact_match_acc,token_balanced_accuracy,token_macro_f1
GP,shuffle_dyck,01d3a605118c41aca3b6bac7f06b86d0,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,01f0ec7124984b6aba25a8d5e9b9be68,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,04a2e940ea1c4c4cb967dedc0056211c,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,057426a3f1e741bf887e18b226322df3,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,05bc95ba82a74d628699826ea3c23dc7,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,05c719df42404a1cac0d3e50605b9bb6,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,071d5bc884c248b98ef8a05eaf09114d,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,07eb2118100a4083b71147c3d07f24c9,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,0a0089c29591476085d63aedfdd2ccdb,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,0a08dda3454443bea6de2bdd4093a6e1,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,0a4613a9e8914250b6743ceb239b1a88,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,0b0c473eab2c4caeb8a5af06eaf5637a,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,0c64456e758e4a27879f4504cd663ade,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,0cfa6da903ca4ed585911c6c41b83505,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,0ff981fc5c35467793d139da25d79719,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,0ffe89a8a76448868200cb657714d183,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,11b20161d894416b9696c22737a5f050,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,12507ad8faf54cb5a04f2fdf8b459e11,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,12a0f9f46f564f9ab33b6e0afcda8294,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,1334dced2d89442fb263344cc117bf64,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,141b63fab16c4defbfb37c49ee0a4caa,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,142dea74ad254605a7e4a9ad428ce599,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,14481333bd4047d8a3b699c57b8592cb,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,14e55be217b94927a7b02ea6fbe49841,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,1533b7b4846644559e8efa02018c45f2,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,1573d1d7ef7a43f5b9a03d333fe4d612,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,15aa70fb151c49cab6a77fe47bb7576a,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,160fbfea8678400ca09979a4be48d261,0.9853658536585366,0.9853658536585366,1.0,0.9923622476813967,0.829485065054059
GP,shuffle_dyck,16d41ca19eff47a3ad2e7e129ac5dd1f,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,17388f654aa44a56a60bb7a60ef31e88,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,1ac21b6bd54e4426aa24813183a8a15a,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,1af51849e0e241619d9096bd91e0235a,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,1b18bf2a2c48456ba7c01ed3138a0b38,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,1b67fb3335874756a1e63d318730ef94,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,1d842280f3894000b62f06ce53525143,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,1e6faa1888214058ac2d90c6a50597df,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,1ecba833447944bca43ac9882efc5e78,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,20c77abc3e8c424c90150174c18b9869,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,22fda6b673ef412a934b37aab5bc3161,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,23186f485c8b4c9492bf8f5ab065d0c1,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,24099bf894fd4ba79f4af133af5a723b,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,241bd3dfcc0045dc95aba4ff1ec5c5d4,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,25ff6414389d4265a226679f1447ec9a,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,2665918902954ade953e6d271069a9ee,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,27452f3224ae407a8eab2c1a1cb57ced,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,27c7ff95ac2a482095f5175571d24fd0,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,2822a8dd54e244598649a34ebe2f2aa6,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,28357cf95fbd4389a311073d185756b8,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,28946b583671455491af283d50a462be,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,28a378bf729e495489e75958ed2de90f,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,292c9667e6c944c2b5c72b7d75b25a53,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,29e97db0cb33478080c549536ea3531d,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,29f92ca25a3c42559bf6e31e294572ad,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,2a050f983fcd4e4aa9ef22c43abd851a,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,2a0a34017ea24bc2a724885bf9a9e541,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,2b5dd26cbea44364ace2957d59a2f643,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,2bb4f627d4304db59b49acec5ec89ce5,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,2c38add82de447c8bd323ddffe0314b9,0.9853658536585366,0.9853658536585366,1.0,0.9923622476813967,0.829485065054059
GP,shuffle_dyck,2cd95d2e21644269959191da3492af0b,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,2e26e7808c6e4f4eb3421459b82af68d,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,2e94347aaba04448ae45040a1e78ca77,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,2f46ac73aaea48ffbf90039792cd3c11,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,2f4d8eb2d236426eb324c8a3ed4de8a7,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,2fc5b2e41a2041318ae026fcc735a542,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,31c551c87f544266a50394dd91b843a2,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,337176ac6f92430596f7adef52448b12,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,340d8a1ab06741e6a1f56b1a320741b5,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,37e866c4d00b48fd9216ca66e381b908,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,3856edab8a00435cb47d4472dbe298fe,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,387877b30c64497a8686912ee7ae96f0,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,387ee305d6c1412f93dc0e43d1bfa2f0,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,389f7de82b5249c2805034982463ffe0,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,390aac35e9db4c238bb3cfa0ab358501,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,394b4eed785f49c0b53d49f5a0e274cd,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,3963fb840ce543aea3d5175acef3f1ac,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,39ab31ae2b2144a2a7e345a98b7e5e35,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,39b9faf394644d849614707795a6333e,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,3a033d28c24740c49bfa2ff2b7245062,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,3a0f38d241f9435caede4e9cb2754913,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck,3a63481019e943508b38f9418c7613bc,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,3a9b361870094621903a119b0c1eb2f2,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,3b9ad3009e82476fbd7f56cb2992593b,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,3bcf3803124c4a2d9934cf0cf30d5162,0.9853658536585366,0.9853658536585366,0.0,0.5,0.4962100703844071
GP,shuffle_dyck,3d109c3d633e43188fa4d7578c79a655,1.0,1.0,1.0,1.0,1.0
