method,program_name,job_id,stored_test_acc,full_seq_exact_match_acc,positive_seq_exact_match_acc,token_balanced_accuracy,token_macro_f1
GP,shuffle_dyck2,011feaa061f24316995aa1d14301d847,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,01701afc4e844bf09e26d01a2e94eda0,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,02949b80c89942edacbb378f4e1baa46,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,05693a76e8f1448a929ea907e79c981a,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,067665f3dbc749b69d87e0934c2d64fe,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,067fd6297de345c4a51253cb3c63fe65,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,078fa4f818a7472bb5b5a31596fd58c7,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,08f089c65d56403e9fd95bc72056dc89,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,093fcbd31e5746d1973be7ebfaa1d6ce,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,0aa0d02ac1984122832a23e141fa2bc4,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,0ce88315ce79441fa403d0e7a602354f,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,0cfe7ddb66704f6381331deec5a88298,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,0d3f25e39a424104853f31a64ccc9bff,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,0d89d7fe6947438c894edc066ab9b5c7,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,0f85ed04c7dd4c819e0ecfa6ae70e3ef,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,0feba32b5fd84bc8bed3f429473c2e25,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,123245dae50f4699b8d9aa167acd07ba,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,126927327a4f45fc8af536a7abcb4bb5,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,16e420f569924cba8703dfd06f385fdd,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,173e26b7152c400194914f8f422c8974,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,176e4716872945f7848f2d21fdd8f412,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,179f0cc9b5594eb08eababec113f690c,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,17b0f7ef294747c19589b1b706a81de7,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck2,17cb75ca0af14d28944a4e67a9ce6e21,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,1847ac36fe3e4f3480b2852b27ddced5,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,18d33d71e1d94b968d619db6397600e8,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,198c106156f348bd8d842e9a9ff8cc94,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,1a19c93a901f4cbba0c6fb9f0c6c2004,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,1d3ace4524ce40a7a30c9ac6c3265e39,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,1e2c773912bd4884bb6a2a5217097b4a,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,1e4a21caa7f24ea4877d0dc9ad33007d,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,1eab9cfc4a8d4a5b967f4f9720bc6530,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,1f00ae407f2e45669e4795cc1e3e6f20,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,23bbdf67820a4fd7bf2254e165ad1b7a,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,25a3b0e0f9a9489ab85e65d02d6fdaa9,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,25ed40a0620f4c5dbaa3c64617cf038d,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,266defee09454ab99a59d6829ad7a60d,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,2758a644ecfd4b3dae7dadbbb7968163,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,276e499fc5d44556ab37d08333298ce4,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,2b09e7502d2c4e3fbfdde39cc4166604,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,2b1fc78fc95e42ffa6ce9e60085730f6,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,2b5f896407114714a8222738bc26bb7a,0.9928,0.9928,0.0,0.4996748672374553,0.49813624331478584
GP,shuffle_dyck2,2cd447dc69f34456a5f59ec5b9420d56,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,2d3b24617225499893185af5e28d6e7b,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,2e183301cfe243d69efcf083fd205824,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,2fa09a95133e4ce495fdffe790bc42f4,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,30e367b5e97a463ea5836cec8dfeafbf,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,32713289fb234dbf813cf0b26eba821e,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,32b138bfc79a4e05acffbcba1e28e4c7,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,32b659aba9c241adb99571dd14a95a0e,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,3332e030c2d44676b0a299fa91222ed7,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,345dea88a5ff4c58bdbf86f4e49abe6a,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,3469134e05514372b48dabb89bc063b3,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,34db07bb3f024dd2baf6bc064e88601b,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,35e988ad511d49a5bf113ae7ea7fa312,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,35ea60d98a6f4057a19d4e8cbb3004e5,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,3656ea98a09448a0b8079174de078b49,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,3657e773f7d74191aff1eb265a9737cd,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,37ecf750695d4ba6ade3d60e0d177f99,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,3831d59d83364042b86cec6f45e8a2fa,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,3848387f2b7340e69d22c2fd8692498e,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,392c15a2b3ed446ba1d4c5d833e0e395,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,394aac8104bd4f3dbf30f63f9cabc354,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,39b34878c7a542109c4aafb9a8f58670,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,3b6e3298fe484cf18e5e3e809aeb8dc8,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,3ccdc12a841948d096b5be5dec3c6640,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,3d40bb5839cd4815b7c809a88f5ccfa4,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,3d9364c0852f48f0b473ca8c38edd151,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,3df28065026048a096628d52e8297928,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,3f0a1db532ae41c7a54ba4a1ae7a7d7d,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,40064a491c214c878bf3a6c0ec53e7ee,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,410f4336c370449dae0055d8550855fb,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,413036bb963f4170a198a52b475346b9,0.9966,0.9966,1.0,0.9982659585997615,0.897865650453709
GP,shuffle_dyck2,416c0dda25674e7fa133e9eee633cd73,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,41c9a1a49a7844f5949b528bb4eebb20,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,43e60b8004894718a0c31c3959d7ec4b,1.0,1.0,1.0,1.0,1.0
GP,shuffle_dyck2,4566902100414852884f357866765e38,0.0006,0.0006,0.0,0.5,0.49843058004041796
GP,shuffle_dyck2,4a5fbb1771624b6ca28b33c2151ee514,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,4a915aa7448345f28b13747bdcd243af,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,4d097863cc2f4e349ddf200ca931565f,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,4d4af61353834ffd99210f9b53023fde,0.9934,0.9934,0.0,0.5,0.4982988605065615
GP,shuffle_dyck2,4ebc368df37a4393853b2819914fe88f,0.9934,0.9934,0.0,0.5,0.4982988605065615
