program,buggy_init_n,buggy_init_test_acc_mean,buggy_init_test_acc_median,buggy_init_epochs_ran_mean,buggy_init_epochs_ran_median,random_init_n,random_init_test_acc_mean,random_init_test_acc_median,random_init_epochs_ran_mean,random_init_epochs_ran_median
hist,12,0.5569000000000001,0.5147,418.1666666666667,298.5,10,0.0021800000000000005,0.0022,2869.6,2701.0
most_freq,15,0.3311066666666667,0.34840000000000004,726.5333333333333,787.0,10,0.00018000000000000004,0.0002,1660.0,1325.0
reverse,15,0.7254,0.9988,550.6666666666666,411.0,10,0.0004,0.0004,3040.7,3121.5
sort,15,0.9887733333333333,0.9948,474.06666666666666,477.0,10,0.00054,0.00030000000000000003,2430.6,2445.5
