program,job_id,buggy_init_acc,random_init_acc_mean,random_init_acc_min,random_init_acc_max,random_init_n_seeds,random_init_epochs_mean,outcome
hist,cf0cecafd2aa49a49bba26146d55b1ff,0.019200000000000002,1.0,1.0,1.0,5,211.6,random_wins
hist,74ea6f466a0f43ed84cb7008475dbed8,1.0,1.0,1.0,1.0,5,211.6,tie
hist,ca28aa28e26c4e67b9987911b50b8ae4,1.0,1.0,1.0,1.0,5,211.6,tie
hist,0b0495fcab1c4e9d830e5541122891b7,0.0076,1.0,1.0,1.0,5,251.2,random_wins
hist,915a38d1da254c769c958982c210c27b,1.0,1.0,1.0,1.0,5,211.6,tie
hist,2af54ea1a47a4f108666bdbc7c9beb43,0.0076,0.9999600000000001,0.9998,1.0,5,252.2,random_wins
hist,106176312e2447d190c2dc7d6b2ea4bb,0.0076,1.0,1.0,1.0,5,236.6,random_wins
hist,401b91b533164e6e9407725827df947a,1.0,1.0,1.0,1.0,5,226.8,tie
hist,5792e72242a34bfda6e1e53717af3a3d,0.5346000000000001,1.0,1.0,1.0,5,229.6,random_wins
hist,bb6044183a5c4cc59205b10383bb5cf7,1.0,1.0,1.0,1.0,5,226.4,tie
hist,939c336b9fd2493290e35f0cb9e85f1e,1.0,0.9998799999999999,0.9996,1.0,5,228.0,tie
hist,84764891a70a48a597fb9bb010d275ac,1.0,0.9997199999999999,0.9988,1.0,5,255.0,tie
hist,8b677fead5704f11a4ef2ba17c421fe3,0.0112,0.99968,0.9994000000000001,1.0,5,264.0,random_wins
hist,d2f0e74d5ca3470f823d385a0c821a73,0.1872,0.9998400000000001,0.9994000000000001,1.0,5,252.4,random_wins
hist,2a09c0e4cde84692a0e763a5a85bd4a2,1.0,0.9998000000000001,0.9994000000000001,1.0,5,258.2,tie
hist,e114108dd7394cf2a655625a43ca769a,1.0,0.9999600000000001,0.9998,1.0,5,228.8,tie
hist,8fbb0e73a1404c818d47f46bea82795d,0.017400000000000002,0.99992,0.9998,1.0,5,224.6,random_wins
hist,26c89bc5b0624fb0b79f91ae8422a9d0,0.4262,0.9999600000000001,0.9998,1.0,5,227.6,random_wins
hist,eaaa6c2021b944158118434e490ee52f,0.4752,0.9999600000000001,0.9998,1.0,5,200.6,random_wins
hist,f711e56f6efc4f20822c8b589f4d97fd,0.5626,0.9999600000000001,0.9998,1.0,5,211.4,random_wins
most_freq,6313e6e2c6e1485aa95c04ce09078b3b,0.47100000000000003,0.90412,0.8676,0.9322,5,482.4,random_wins
most_freq,6f7126701cb245cd85f0e341ed1187ad,0.0402,0.9198400000000001,0.8792000000000001,0.9786,5,540.8,random_wins
most_freq,4d6169237832402e9ba30f7bb64e38b4,0.12380000000000001,0.74488,0.7172000000000001,0.7786000000000001,5,1541.0,random_wins
most_freq,0a1bf6dbf477444fa466ee6a054b9504,0.3412,0.898,0.8212,0.9738,5,453.8,random_wins
most_freq,a1278c0987094750ad9d90fc1036b5c0,0.2912,0.74468,0.7174,0.769,5,1571.0,random_wins
most_freq,0fda93c3b3e14c9a96eb9aa2403fd7b8,0.9626,0.74624,0.6998000000000001,0.8170000000000001,5,1285.4,buggy_wins
most_freq,030ceb3d004747128859b6aab7bec589,0.4656,0.8051999999999999,0.7546,0.8534,5,470.4,random_wins
most_freq,a65fc403fcd6422ca61fd7333924af1d,0.37320000000000003,0.75796,0.7056,0.7982,5,627.8,random_wins
most_freq,aab2d7117b254e148b0a16e57f007051,0.2702,0.9068800000000001,0.8376,0.9662000000000001,5,496.6,random_wins
most_freq,6f7be568280642d9a83f45e0a1f059f9,0.46680000000000005,0.9106799999999999,0.8484,0.9734,5,443.8,random_wins
most_freq,34774d399b334cc7a2346fe26ce27ed5,0.6498,0.7447600000000001,0.632,0.8178000000000001,5,1440.2,random_wins
most_freq,600563cfbf284331957e4a7082b77b8c,0.379,0.81576,0.7958000000000001,0.8416,5,579.4,random_wins
most_freq,dfe8099c361e48b682f8c8b3f2bc8243,0.1708,0.73588,0.6702,0.7858,5,1006.8,random_wins
most_freq,4016e82c5c2043f2ac1ec0843dc6aa8d,0.3644,0.77408,0.7180000000000001,0.8310000000000001,5,592.8,random_wins
most_freq,8e5d053422c744ad958b07163d921104,0.0546,0.77392,0.7374,0.8056000000000001,5,750.6,random_wins
most_freq,3ed266af939646bfb57b71c009caeeb8,0.1494,0.76716,0.7276,0.7898000000000001,5,673.2,random_wins
most_freq,25e4baa19f654039805b81af1e9b51c3,0.4234,0.82132,0.7618,0.8646,5,534.6,random_wins
most_freq,b8af10a7df5b47fc867cc2db1b2da6ec,0.4218,0.8067200000000001,0.7586,0.8396,5,644.0,random_wins
most_freq,945b5134329c434994283be97e6e58d8,0.4394,0.7886,0.7368,0.8526,5,546.2,random_wins
most_freq,5cad4707ad2f407ab0528324934cb358,0.3386,0.8700000000000001,0.8052,0.9336000000000001,5,520.2,random_wins
reverse,1a2d6d1fc3af4c7db95d3014e8b6dccd,0.9662000000000001,0.9998000000000001,0.9996,1.0,5,72.4,random_wins
reverse,54ca160efa9d43e4a1592a3f9b2ac3d2,1.0,0.9998799999999999,0.9996,1.0,5,73.2,tie
reverse,412e0ff120c4422bbee1863c8a1a5e49,1.0,0.99992,0.9998,1.0,5,62.8,tie
reverse,de8b281ea8bc4bd3bb7d0027834724a8,1.0,0.9998799999999999,0.9996,1.0,5,70.6,tie
reverse,f8f57c403ae549639728e93db256e886,1.0,0.9998799999999999,0.9996,1.0,5,76.8,tie
reverse,4ad7414cef5c442d8d915a4ce40c0b7b,0.49200000000000005,0.9998799999999999,0.9996,1.0,5,73.2,random_wins
reverse,3ef661ac886f4faa8f9105c1ee81b642,0.9258000000000001,0.9999600000000001,0.9998,1.0,5,76.4,random_wins
reverse,fa21b498ba9548f499ec5258636ed09f,0.9178000000000001,1.0,1.0,1.0,5,67.0,random_wins
reverse,f6c29e84d31e4860ba91b1431683d1a9,0.6692,1.0,1.0,1.0,5,61.6,random_wins
