program,job_id,buggy_init_acc,random_init_acc_mean,random_init_acc_min,random_init_acc_max,random_init_n_seeds,random_init_epochs_mean,outcome
reverse,9c93d45f286844cba557fde9e415be3a,0.1336,0.9998799999999999,0.9996,1.0,5,80.2,random_wins
reverse,be8a29328813407e8caf06dd3abdc7df,1.0,0.9999600000000001,0.9998,1.0,5,73.4,tie
reverse,04494a932ac74726a9ddd5b2dc6e5a00,0.9988,0.9998799999999999,0.9996,1.0,5,71.0,tie
reverse,0cc6005558004dc286740d35780ca998,0.7044,0.9998799999999999,0.9996,1.0,5,74.0,random_wins
reverse,5a8326c00b384efaaa149788501f0fce,0.9256000000000001,0.9999600000000001,0.9998,1.0,5,75.8,random_wins
reverse,c6251623ddd54121a6be84f566827508,0.7978000000000001,0.9999600000000001,0.9998,1.0,5,71.6,random_wins
reverse,bb48e6244f1f499cbf8d81bc65fdd991,0.1066,0.9999600000000001,0.9998,1.0,5,68.8,random_wins
reverse,092a6a25f7914bc4aabfd281e15f3287,0.9986,0.9999600000000001,0.9998,1.0,5,80.6,tie
reverse,d95a278c07cb4a9abb3534ac6df92652,0.8478,1.0,1.0,1.0,5,64.6,random_wins
reverse,f7bdeff6055e4f3e97d8d4f93bb7d628,0.8340000000000001,0.9998799999999999,0.9996,1.0,5,61.8,random_wins
reverse,50ce2d524ee34727bae12f829ff83f3c,0.9998,0.99992,0.9998,1.0,5,71.4,tie
sort,15b5ad253d094e8f9eb67b6d3d271f8d,0.8156,0.9999600000000001,0.9998,1.0,5,111.8,random_wins
sort,1e176106f2f4457aa7ddbc6cac2f1f19,0.9896,0.9999600000000001,0.9998,1.0,5,99.0,random_wins
sort,b3857fcb0b66437b99f3e9102ae8044e,0.337,0.9999600000000001,0.9998,1.0,5,104.8,random_wins
sort,ccb433892d264e509595df594bc2a66c,1.0,0.9999600000000001,0.9998,1.0,5,91.4,tie
sort,a37147e576204f0f8e321dcde4d7a8e6,0.9606,0.9999600000000001,0.9998,1.0,5,100.8,random_wins
sort,2eb8227a90f04e6887e841975c42fad7,0.9318000000000001,0.99992,0.9998,1.0,5,77.8,random_wins
sort,44877b3b21a3452dba247a0db8a20baa,1.0,0.99992,0.9998,1.0,5,89.8,tie
sort,01a3f1b2a6d2477ab8113c9f07a9278d,1.0,0.9999600000000001,0.9998,1.0,5,99.0,tie
sort,c562575ef3d24d53a26b4b40700dbcb7,0.2732,0.9998799999999999,0.9998,1.0,5,113.0,random_wins
sort,9df9ae0d448948e8b0f9a1dab8b55580,1.0,0.9998400000000001,0.9996,1.0,5,130.4,tie
sort,60cabee478f24194afc3d9e72e05f117,0.9998,0.9999600000000001,0.9998,1.0,5,92.2,tie
sort,b29594aec9374a5bad59a6bf7998698e,0.9988,0.99992,0.9998,1.0,5,121.2,tie
sort,9987f0e7b821410f9fb6592893303d00,0.9978,0.9999600000000001,0.9998,1.0,5,119.8,tie
sort,67172ad9a16c4e36ae35eecc3ca3ca08,0.9978,0.9998000000000001,0.9994000000000001,1.0,5,94.6,tie
sort,8c2bda71776944d3822df50ee89064d2,0.9578000000000001,0.9998000000000001,0.9996,1.0,5,119.6,random_wins
sort,e471a8f7aac7410e8dca3c14be6851af,0.9774,0.9999600000000001,0.9998,1.0,5,105.2,random_wins
sort,48707c23d02b4b56b22c1309e2dcf917,1.0,0.9998000000000001,0.9996,1.0,5,91.6,tie
sort,4b7ec57275fe459a832de039ee16c7be,0.9946,1.0,1.0,1.0,5,82.4,tie
sort,6b1d93154645422b8c228f1928d27130,0.9996,0.99992,0.9998,1.0,5,98.2,tie
sort,0875602073914f608e86ce0361ae2952,1.0,0.9998799999999999,0.9996,1.0,5,103.0,tie
