program,n_samples,final_loss,final_val_acc,best_val_acc
hist,5000,0.0009314416674897075,0.0076481835564053535,0.009560229445506692
hist,25000,0.0009459347347728908,0.0042775665399239545,0.006178707224334601
hist,50000,0.003235800191760063,0.002598752598752599,0.0031185031185031187
hist,100000,0.0012108058435842395,0.0025014714537963507,0.002942907592701589
most-freq,5000,127518.875,0.0,0.005385996409335727
most-freq,25000,17.819982528686523,0.0,0.0008233841086867024
reverse,5000,2316.9501953125,0.0,0.005263157894736842
reverse,25000,0.011767553165555,0.0,0.0016420361247947454
reverse,50000,0.003020476782694459,0.0,0.0011158223610801161
sort,5000,9.959099769592285,0.0,0.01174496644295302
sort,25000,0.0014138586120679975,0.0034403669724770644,0.0095565749235474
sort,50000,0.000470907601993531,0.06262626262626263,0.07595959595959596
sort,100000,0.0003431688528507948,0.08412129116400391,0.08412129116400391
